day,timestamp,lat,lon,speed_kmh,heading_deg,altitude_m,magvar_deg,accel_x,accel_y,accel_z,dt_s,outlier,source_file
all,2026-08-15T09:00:00,25.774408,-80.137971,48.00,259.2,-10.0,0.0,0.000,0.000,0.010,,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:01,25.774386,-80.138102,48.00,259.5,-9.0,0.0,0.010,0.000,0.000,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:02,25.774364,-80.138233,48.00,259.8,-8.0,0.0,0.020,0.000,0.010,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:03,25.774344,-80.138364,48.00,260.0,-7.0,0.0,0.000,0.000,0.000,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:04,25.774323,-80.138495,48.00,260.2,-6.0,0.0,0.010,0.000,0.010,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:05,25.774304,-80.138626,48.00,260.5,-10.0,0.0,0.020,0.000,0.000,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:06,25.774284,-80.138758,48.00,260.8,-9.0,0.0,0.000,0.000,0.010,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:07,25.774265,-80.138889,48.00,261.0,-8.0,0.0,0.010,0.000,0.000,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:08,25.774247,-80.139021,48.00,261.2,-7.0,0.0,0.020,0.000,0.010,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:09,25.774230,-80.139153,48.00,261.5,-6.0,0.0,0.000,0.000,0.000,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:10,25.774212,-80.139284,48.00,261.8,-10.0,0.0,0.010,0.000,0.010,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:11,25.774196,-80.139416,48.00,262.0,-9.0,0.0,0.020,0.000,0.000,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:12,25.774179,-80.139548,48.00,262.2,-8.0,0.0,0.000,0.000,0.010,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:13,25.774164,-80.139680,48.00,262.5,-7.0,0.0,0.010,0.000,0.000,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:14,25.774149,-80.139812,48.00,262.8,-6.0,0.0,0.020,0.000,0.010,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:15,25.774134,-80.139945,48.00,263.0,-10.0,0.0,0.000,0.000,0.000,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:16,25.774120,-80.140077,48.00,263.2,-9.0,0.0,0.010,0.000,0.010,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:17,25.774106,-80.140209,48.00,263.5,-8.0,0.0,0.020,0.000,0.000,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:18,25.774093,-80.140341,48.00,263.8,-7.0,0.0,0.000,0.000,0.010,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:19,25.774081,-80.140474,48.00,264.0,-6.0,0.0,0.010,0.000,0.000,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:20,25.774069,-80.140606,48.00,264.2,-10.0,0.0,0.020,0.000,0.010,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:21,25.774057,-80.140739,48.00,264.5,-9.0,0.0,0.000,0.000,0.000,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:22,25.774046,-80.140872,48.00,264.8,-8.0,0.0,0.010,0.000,0.010,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:23,25.774036,-80.141004,48.00,265.0,-7.0,0.0,0.020,0.000,0.000,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:24,25.774026,-80.141137,48.00,265.2,-6.0,0.0,0.000,0.000,0.010,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:25,25.774017,-80.141270,48.00,265.5,-10.0,0.0,0.010,0.000,0.000,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:26,25.774008,-80.141402,48.00,265.8,-9.0,0.0,0.020,0.000,0.010,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:27,25.773999,-80.141535,48.00,266.0,-8.0,0.0,0.000,0.000,0.000,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:28,25.773991,-80.141668,48.00,266.2,-7.0,0.0,0.010,0.000,0.010,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:29,25.773984,-80.141801,48.00,266.5,-6.0,0.0,0.020,0.000,0.000,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:30,25.773977,-80.141934,48.00,266.8,-10.0,0.0,0.000,0.000,0.010,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:31,25.773971,-80.142067,48.00,267.0,-9.0,0.0,0.010,0.000,0.000,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:32,25.773965,-80.142200,48.00,267.2,-8.0,0.0,0.020,0.000,0.010,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:33,25.773960,-80.142333,48.00,267.5,-7.0,0.0,0.000,0.000,0.000,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:34,25.773955,-80.142466,48.00,267.8,-6.0,0.0,0.010,0.000,0.010,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:35,25.773951,-80.142599,48.00,268.0,-10.0,0.0,0.020,0.000,0.000,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:36,25.773948,-80.142732,48.00,268.2,-9.0,0.0,0.000,0.000,0.010,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:37,25.773944,-80.142865,48.00,268.5,-8.0,0.0,0.010,0.000,0.000,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:38,25.773942,-80.142998,48.00,268.8,-7.0,0.0,0.020,0.000,0.010,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:39,25.773940,-80.143132,48.00,269.0,-6.0,0.0,0.000,0.000,0.000,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:40,25.773938,-80.143265,48.00,269.2,-10.0,0.0,0.010,0.000,0.010,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:41,25.773937,-80.143398,48.00,269.5,-9.0,0.0,0.020,0.000,0.000,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:42,25.773937,-80.143531,48.00,269.8,-8.0,0.0,0.000,0.000,0.010,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:43,25.773937,-80.143664,48.00,270.0,-7.0,0.0,0.010,0.000,0.000,1.000,0,ligo_plain_mp4_udta.mp4
all,2026-08-15T09:00:44,25.773937,-80.143797,48.00,270.2,-6.0,0.0,0.020,0.000,0.010,1.000,0,ligo_plain_mp4_udta.mp4
