day,timestamp,lat,lon,speed_kmh,heading_deg,altitude_m,magvar_deg,accel_x,accel_y,accel_z,dt_s,outlier,source_file
all,2026-08-13T04:00:00,25.774408,-80.137971,48.00,259.2,-10.0,0.0,0.000,0.000,0.010,,0,ligo_ts_trailer_bad_length.ts
all,2026-08-13T04:00:01,25.774386,-80.138102,48.00,259.5,-9.0,0.0,0.010,0.000,0.000,1.000,0,ligo_ts_trailer_bad_length.ts
all,2026-08-13T04:00:02,25.774364,-80.138233,48.00,259.8,-8.0,0.0,0.020,0.000,0.010,1.000,0,ligo_ts_trailer_bad_length.ts
all,2026-08-13T04:00:03,25.774344,-80.138364,48.00,260.0,-7.0,0.0,0.000,0.000,0.000,1.000,0,ligo_ts_trailer_bad_length.ts
all,2026-08-13T04:00:04,25.774323,-80.138495,48.00,260.2,-6.0,0.0,0.010,0.000,0.010,1.000,0,ligo_ts_trailer_bad_length.ts
all,2026-08-13T04:00:05,25.774304,-80.138626,48.00,260.5,-10.0,0.0,0.020,0.000,0.000,1.000,0,ligo_ts_trailer_bad_length.ts
all,2026-08-13T04:00:06,25.774284,-80.138758,48.00,260.8,-9.0,0.0,0.000,0.000,0.010,1.000,0,ligo_ts_trailer_bad_length.ts
all,2026-08-13T04:00:07,25.774265,-80.138889,48.00,261.0,-8.0,0.0,0.010,0.000,0.000,1.000,0,ligo_ts_trailer_bad_length.ts
all,2026-08-13T04:00:08,25.774247,-80.139021,48.00,261.2,-7.0,0.0,0.020,0.000,0.010,1.000,0,ligo_ts_trailer_bad_length.ts
all,2026-08-13T04:00:09,25.774230,-80.139153,48.00,261.5,-6.0,0.0,0.000,0.000,0.000,1.000,0,ligo_ts_trailer_bad_length.ts
