day,timestamp,lat,lon,speed_kmh,heading_deg,altitude_m,magvar_deg,accel_x,accel_y,accel_z,dt_s,outlier,source_file
all,2026-08-03T09:54:22,25.774408,-80.137971,48.00,259.2,-6.0,0.0,0.010,0.000,0.010,,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:23,25.774386,-80.138102,48.00,259.5,-10.0,0.0,0.020,0.000,0.000,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:24,25.774364,-80.138233,48.00,259.8,-9.0,0.0,0.000,0.000,0.010,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:25,25.774344,-80.138364,48.00,260.0,-8.0,0.0,0.010,0.000,0.000,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:26,25.774323,-80.138495,48.00,260.2,-7.0,0.0,0.020,0.000,0.010,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:27,25.774304,-80.138626,48.00,260.5,-6.0,0.0,0.000,0.000,0.000,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:28,25.774284,-80.138758,48.00,260.8,-10.0,0.0,0.010,0.000,0.010,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:29,25.774265,-80.138889,48.00,261.0,-9.0,0.0,0.020,0.000,0.000,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:30,25.774247,-80.139021,48.00,261.2,-8.0,0.0,0.000,0.000,0.010,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:31,25.774230,-80.139153,48.00,261.5,-7.0,0.0,0.010,0.000,0.000,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:32,25.774212,-80.139284,48.00,261.8,-6.0,0.0,0.020,0.000,0.010,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:33,25.774196,-80.139416,48.00,262.0,-10.0,0.0,0.000,0.000,0.000,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:34,25.774179,-80.139548,48.00,262.2,-9.0,0.0,0.010,0.000,0.010,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:35,25.774164,-80.139680,48.00,262.5,-8.0,0.0,0.020,0.000,0.000,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:36,25.774149,-80.139812,48.00,262.8,-7.0,0.0,0.000,0.000,0.010,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:37,25.774134,-80.139945,48.00,263.0,-6.0,0.0,0.010,0.000,0.000,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:38,25.774120,-80.140077,48.00,263.2,-10.0,0.0,0.020,0.000,0.010,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:39,25.774106,-80.140209,48.00,263.5,-9.0,0.0,0.000,0.000,0.000,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:40,25.774093,-80.140341,48.00,263.8,-8.0,0.0,0.010,0.000,0.010,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:41,25.774081,-80.140474,48.00,264.0,-7.0,0.0,0.020,0.000,0.000,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:42,25.774069,-80.140606,48.00,264.2,-6.0,0.0,0.000,0.000,0.010,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:43,25.774057,-80.140739,48.00,264.5,-10.0,0.0,0.010,0.000,0.000,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:44,25.774046,-80.140872,48.00,264.8,-9.0,0.0,0.020,0.000,0.010,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:45,25.774036,-80.141004,48.00,265.0,-8.0,0.0,0.000,0.000,0.000,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:46,25.774026,-80.141137,48.00,265.2,-7.0,0.0,0.010,0.000,0.010,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:47,25.774017,-80.141270,48.00,265.5,-6.0,0.0,0.020,0.000,0.000,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:48,25.774008,-80.141402,48.00,265.8,-10.0,0.0,0.000,0.000,0.010,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:49,25.773999,-80.141535,48.00,266.0,-9.0,0.0,0.010,0.000,0.000,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:50,25.773991,-80.141668,48.00,266.2,-8.0,0.0,0.020,0.000,0.010,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:51,25.773984,-80.141801,48.00,266.5,-7.0,0.0,0.000,0.000,0.000,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:52,25.773977,-80.141934,48.00,266.8,-6.0,0.0,0.010,0.000,0.010,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:53,25.773971,-80.142067,48.00,267.0,-10.0,0.0,0.020,0.000,0.000,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:54,25.773965,-80.142200,48.00,267.2,-9.0,0.0,0.000,0.000,0.010,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:55,25.773960,-80.142333,48.00,267.5,-8.0,0.0,0.010,0.000,0.000,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:56,25.773955,-80.142466,48.00,267.8,-7.0,0.0,0.020,0.000,0.010,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:57,25.773951,-80.142599,48.00,268.0,-6.0,0.0,0.000,0.000,0.000,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:58,25.773948,-80.142732,48.00,268.2,-10.0,0.0,0.010,0.000,0.010,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:54:59,25.773944,-80.142865,48.00,268.5,-9.0,0.0,0.020,0.000,0.000,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:55:00,25.773942,-80.142998,48.00,268.8,-8.0,0.0,0.000,0.000,0.010,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:55:01,25.773940,-80.143132,48.00,269.0,-7.0,0.0,0.010,0.000,0.000,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:55:02,25.773938,-80.143265,48.00,269.2,-6.0,0.0,0.020,0.000,0.010,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:55:03,25.773937,-80.143398,48.00,269.5,-10.0,0.0,0.000,0.000,0.000,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:55:04,25.773937,-80.143531,48.00,269.8,-9.0,0.0,0.010,0.000,0.010,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:55:05,25.773937,-80.143664,48.00,270.0,-8.0,0.0,0.020,0.000,0.000,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:55:06,25.773937,-80.143797,48.00,270.2,-7.0,0.0,0.000,0.000,0.010,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:55:07,25.773938,-80.143930,48.00,270.5,-6.0,0.0,0.010,0.000,0.000,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:55:08,25.773940,-80.144064,48.00,270.8,-10.0,0.0,0.020,0.000,0.010,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:55:09,25.773942,-80.144197,48.00,271.0,-9.0,0.0,0.000,0.000,0.000,1.000,0,ligo_ts_trailer_basic.ts
all,2026-08-03T09:55:10,25.773944,-80.144330,48.00,271.2,-8.0,0.0,0.010,0.000,0.010,1.000,0,ligo_ts_trailer_basic.ts
