day,timestamp,lat,lon,speed_kmh,heading_deg,altitude_m,magvar_deg,accel_x,accel_y,accel_z,dt_s,outlier,source_file
all,2026-08-11T04:00:00,25.774408,-80.137971,48.00,,,,0.000,0.000,0.010,,0,ligo_ts_trailer_no_ahm.ts
all,2026-08-11T04:00:01,25.774386,-80.138102,48.00,,,,0.010,0.000,0.000,1.000,0,ligo_ts_trailer_no_ahm.ts
all,2026-08-11T04:00:02,25.774364,-80.138233,48.00,,,,0.020,0.000,0.010,1.000,0,ligo_ts_trailer_no_ahm.ts
all,2026-08-11T04:00:03,25.774344,-80.138364,48.00,,,,0.000,0.000,0.000,1.000,0,ligo_ts_trailer_no_ahm.ts
all,2026-08-11T04:00:04,25.774323,-80.138495,48.00,,,,0.010,0.000,0.010,1.000,0,ligo_ts_trailer_no_ahm.ts
all,2026-08-11T04:00:05,25.774304,-80.138626,48.00,,,,0.020,0.000,0.000,1.000,0,ligo_ts_trailer_no_ahm.ts
all,2026-08-11T04:00:06,25.774284,-80.138758,48.00,,,,0.000,0.000,0.010,1.000,0,ligo_ts_trailer_no_ahm.ts
all,2026-08-11T04:00:07,25.774265,-80.138889,48.00,,,,0.010,0.000,0.000,1.000,0,ligo_ts_trailer_no_ahm.ts
all,2026-08-11T04:00:08,25.774247,-80.139021,48.00,,,,0.020,0.000,0.010,1.000,0,ligo_ts_trailer_no_ahm.ts
all,2026-08-11T04:00:09,25.774230,-80.139153,48.00,,,,0.000,0.000,0.000,1.000,0,ligo_ts_trailer_no_ahm.ts
all,2026-08-11T04:00:10,25.774212,-80.139284,48.00,,,,0.010,0.000,0.010,1.000,0,ligo_ts_trailer_no_ahm.ts
all,2026-08-11T04:00:11,25.774196,-80.139416,48.00,,,,0.020,0.000,0.000,1.000,0,ligo_ts_trailer_no_ahm.ts
all,2026-08-11T04:00:12,25.774179,-80.139548,48.00,,,,0.000,0.000,0.010,1.000,0,ligo_ts_trailer_no_ahm.ts
all,2026-08-11T04:00:13,25.774164,-80.139680,48.00,,,,0.010,0.000,0.000,1.000,0,ligo_ts_trailer_no_ahm.ts
all,2026-08-11T04:00:14,25.774149,-80.139812,48.00,,,,0.020,0.000,0.010,1.000,0,ligo_ts_trailer_no_ahm.ts
all,2026-08-11T04:00:15,25.774134,-80.139945,48.00,,,,0.000,0.000,0.000,1.000,0,ligo_ts_trailer_no_ahm.ts
all,2026-08-11T04:00:16,25.774120,-80.140077,48.00,,,,0.010,0.000,0.010,1.000,0,ligo_ts_trailer_no_ahm.ts
all,2026-08-11T04:00:17,25.774106,-80.140209,48.00,,,,0.020,0.000,0.000,1.000,0,ligo_ts_trailer_no_ahm.ts
all,2026-08-11T04:00:18,25.774093,-80.140341,48.00,,,,0.000,0.000,0.010,1.000,0,ligo_ts_trailer_no_ahm.ts
