day,timestamp,lat,lon,speed_kmh,heading_deg,altitude_m,magvar_deg,accel_x,accel_y,accel_z,dt_s,outlier,source_file
all,2026-05-03T10:00:00,47.599970,-122.300237,65.01,259.3,-10.0,,,,,,0,nmea_bad_checksum.ts
all,2026-05-03T10:00:01,47.599940,-122.300473,65.01,259.5,-9.0,,,,,1.000,0,nmea_bad_checksum.ts
all,2026-05-03T10:00:02,47.599912,-122.300710,65.01,259.8,-8.0,,,,,1.000,0,nmea_bad_checksum.ts
all,2026-05-03T10:00:03,47.599883,-122.300947,65.01,260.0,-7.0,,,,,1.000,0,nmea_bad_checksum.ts
all,2026-05-03T10:00:05,47.599828,-122.301422,65.01,260.5,-10.0,,,,,2.000,0,nmea_bad_checksum.ts
all,2026-05-03T10:00:06,47.599803,-122.301660,65.01,260.8,-9.0,,,,,1.000,0,nmea_bad_checksum.ts
all,2026-05-03T10:00:07,47.599777,-122.301898,65.01,261.0,-8.0,,,,,1.000,0,nmea_bad_checksum.ts
all,2026-05-03T10:00:08,47.599753,-122.302135,65.01,261.3,-7.0,,,,,1.000,0,nmea_bad_checksum.ts
all,2026-05-03T10:00:10,47.599705,-122.302612,65.01,261.8,-10.0,,,,,2.000,0,nmea_bad_checksum.ts
all,2026-05-03T10:00:11,47.599683,-122.302850,65.01,262.0,-9.0,,,,,1.000,0,nmea_bad_checksum.ts
all,2026-05-03T10:00:12,47.599660,-122.303090,65.01,262.3,-8.0,,,,,1.000,0,nmea_bad_checksum.ts
all,2026-05-03T10:00:13,47.599640,-122.303328,65.01,262.5,-7.0,,,,,1.000,0,nmea_bad_checksum.ts
all,2026-05-03T10:00:15,47.599600,-122.303807,65.01,263.0,-10.0,,,,,2.000,0,nmea_bad_checksum.ts
all,2026-05-03T10:00:16,47.599580,-122.304045,65.01,263.3,-9.0,,,,,1.000,0,nmea_bad_checksum.ts
all,2026-05-03T10:00:17,47.599562,-122.304285,65.01,263.5,-8.0,,,,,1.000,0,nmea_bad_checksum.ts
all,2026-05-03T10:00:18,47.599543,-122.304523,65.01,263.8,-7.0,,,,,1.000,0,nmea_bad_checksum.ts
all,2026-05-03T10:00:20,47.599512,-122.305003,65.01,264.3,-10.0,,,,,2.000,0,nmea_bad_checksum.ts
all,2026-05-03T10:00:21,47.599495,-122.305243,65.01,264.5,-9.0,,,,,1.000,0,nmea_bad_checksum.ts
all,2026-05-03T10:00:22,47.599480,-122.305482,65.01,264.8,-8.0,,,,,1.000,0,nmea_bad_checksum.ts
all,2026-05-03T10:00:23,47.599467,-122.305722,65.01,265.0,-7.0,,,,,1.000,0,nmea_bad_checksum.ts
all,2026-05-03T10:00:25,47.599440,-122.306202,65.01,265.5,-10.0,,,,,2.000,0,nmea_bad_checksum.ts
all,2026-05-03T10:00:26,47.599428,-122.306442,65.01,265.8,-9.0,,,,,1.000,0,nmea_bad_checksum.ts
all,2026-05-03T10:00:27,47.599417,-122.306683,65.01,266.0,-8.0,,,,,1.000,0,nmea_bad_checksum.ts
all,2026-05-03T10:00:28,47.599407,-122.306923,65.01,266.3,-7.0,,,,,1.000,0,nmea_bad_checksum.ts
