day,timestamp,lat,lon,speed_kmh,heading_deg,altitude_m,magvar_deg,accel_x,accel_y,accel_z,dt_s,outlier,source_file
all,2026-05-05T10:00:00,34.049975,-118.240163,55.00,259.3,-10.0,,,,,,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:01,34.049950,-118.240327,55.00,259.5,-9.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:02,34.049925,-118.240488,55.00,259.8,-8.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:03,34.049902,-118.240652,55.00,260.0,-7.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:04,34.049878,-118.240817,55.00,260.3,-6.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:05,34.049855,-118.240980,55.00,260.5,-10.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:06,34.049833,-118.241143,55.00,260.8,-9.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:07,34.049812,-118.241307,55.00,261.0,-8.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:08,34.049790,-118.241470,55.00,261.3,-7.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:09,34.049770,-118.241635,55.00,261.5,-6.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:10,34.049750,-118.241798,55.00,261.8,-10.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:11,34.049732,-118.241963,55.00,262.0,-9.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:12,34.049713,-118.242127,55.00,262.3,-8.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:13,34.049695,-118.242292,55.00,262.5,-7.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:14,34.049678,-118.242457,55.00,262.8,-6.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:15,34.049662,-118.242622,55.00,263.0,-10.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:16,34.049645,-118.242785,55.00,263.3,-9.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:17,34.049630,-118.242950,55.00,263.5,-8.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:18,34.049615,-118.243115,55.00,263.8,-7.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:19,34.049600,-118.243280,55.00,264.0,-6.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:20,34.049587,-118.243445,55.00,264.3,-10.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:21,34.049573,-118.243610,55.00,264.5,-9.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:22,34.049560,-118.243775,55.00,264.8,-8.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:23,34.049548,-118.243940,55.00,265.0,-7.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:24,34.049537,-118.244105,55.00,265.3,-6.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:25,34.049527,-118.244272,55.00,265.5,-10.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:26,34.049517,-118.244437,55.00,265.8,-9.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:27,34.049507,-118.244602,55.00,266.0,-8.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:28,34.049497,-118.244767,55.00,266.3,-7.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:29,34.049488,-118.244933,55.00,266.5,-6.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:30,34.049482,-118.245098,55.00,266.8,-10.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:31,34.049473,-118.245263,55.00,267.0,-9.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:32,34.049468,-118.245430,55.00,267.3,-8.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:33,34.049462,-118.245595,55.00,267.5,-7.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:34,34.049457,-118.245762,55.00,267.8,-6.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:35,34.049452,-118.245927,55.00,268.0,-10.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:36,34.049447,-118.246093,55.00,268.3,-9.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:37,34.049443,-118.246258,55.00,268.5,-8.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:38,34.049440,-118.246423,55.00,268.8,-7.0,,,,,1.000,0,nmea_mp4_free.mp4
all,2026-05-05T10:00:39,34.049438,-118.246590,55.00,269.0,-6.0,,,,,1.000,0,nmea_mp4_free.mp4
