day,timestamp,lat,lon,speed_kmh,heading_deg,altitude_m,magvar_deg,accel_x,accel_y,accel_z,dt_s,outlier,source_file
all,2026-05-01T10:00:00,47.599970,-122.300237,65.01,259.3,-10.0,,,,,,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:01,47.599940,-122.300473,65.01,259.5,-9.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:02,47.599912,-122.300710,65.01,259.8,-8.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:03,47.599883,-122.300947,65.01,260.0,-7.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:04,47.599855,-122.301185,65.01,260.3,-6.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:05,47.599828,-122.301422,65.01,260.5,-10.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:06,47.599803,-122.301660,65.01,260.8,-9.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:07,47.599777,-122.301898,65.01,261.0,-8.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:08,47.599753,-122.302135,65.01,261.3,-7.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:09,47.599728,-122.302373,65.01,261.5,-6.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:10,47.599705,-122.302612,65.01,261.8,-10.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:11,47.599683,-122.302850,65.01,262.0,-9.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:12,47.599660,-122.303090,65.01,262.3,-8.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:13,47.599640,-122.303328,65.01,262.5,-7.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:14,47.599618,-122.303567,65.01,262.8,-6.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:15,47.599600,-122.303807,65.01,263.0,-10.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:16,47.599580,-122.304045,65.01,263.3,-9.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:17,47.599562,-122.304285,65.01,263.5,-8.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:18,47.599543,-122.304523,65.01,263.8,-7.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:19,47.599527,-122.304763,65.01,264.0,-6.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:20,47.599512,-122.305003,65.01,264.3,-10.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:21,47.599495,-122.305243,65.01,264.5,-9.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:22,47.599480,-122.305482,65.01,264.8,-8.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:23,47.599467,-122.305722,65.01,265.0,-7.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:24,47.599453,-122.305962,65.01,265.3,-6.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:25,47.599440,-122.306202,65.01,265.5,-10.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:26,47.599428,-122.306442,65.01,265.8,-9.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:27,47.599417,-122.306683,65.01,266.0,-8.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:28,47.599407,-122.306923,65.01,266.3,-7.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:29,47.599397,-122.307163,65.01,266.5,-6.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:30,47.599387,-122.307403,65.01,266.8,-10.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:31,47.599378,-122.307645,65.01,267.0,-9.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:32,47.599370,-122.307885,65.01,267.3,-8.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:33,47.599363,-122.308125,65.01,267.5,-7.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:34,47.599357,-122.308367,65.01,267.8,-6.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:35,47.599352,-122.308607,65.01,268.0,-10.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:36,47.599347,-122.308847,65.01,268.3,-9.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:37,47.599342,-122.309088,65.01,268.5,-8.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:38,47.599338,-122.309328,65.01,268.8,-7.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:39,47.599337,-122.309570,65.01,269.0,-6.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:40,47.599333,-122.309810,65.01,269.3,-10.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:41,47.599332,-122.310052,65.01,269.5,-9.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:42,47.599332,-122.310292,65.01,269.8,-8.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:43,47.599332,-122.310533,65.01,270.0,-7.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:44,47.599332,-122.310773,65.01,270.3,-6.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:45,47.599333,-122.311015,65.01,270.5,-10.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:46,47.599337,-122.311255,65.01,270.8,-9.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:47,47.599338,-122.311497,65.01,271.0,-8.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:48,47.599342,-122.311737,65.01,271.3,-7.0,,,,,1.000,0,nmea_rmc_gga.ts
all,2026-05-01T10:00:49,47.599347,-122.311977,65.01,271.5,-6.0,,,,,1.000,0,nmea_rmc_gga.ts
