day,timestamp,lat,lon,speed_kmh,heading_deg,altitude_m,magvar_deg,accel_x,accel_y,accel_z,dt_s,outlier,source_file
all,2026-08-21T11:00:00,25.774430,-80.137840,0.00,259.0,-10.0,0.0,0.000,0.000,0.010,,0,post_static_noise.ts
all,2026-08-21T11:00:01,25.774430,-80.137840,0.00,259.0,-9.0,0.0,0.010,0.000,0.000,1.000,0,post_static_noise.ts
all,2026-08-21T11:00:02,25.774430,-80.137840,0.00,259.0,-8.0,0.0,0.020,0.000,0.010,1.000,0,post_static_noise.ts
all,2026-08-21T11:00:03,25.774430,-80.137840,0.00,259.0,-7.0,0.0,0.000,0.000,0.000,1.000,0,post_static_noise.ts
all,2026-08-21T11:00:04,25.774430,-80.137840,0.00,259.0,-6.0,0.0,0.010,0.000,0.010,1.000,0,post_static_noise.ts
all,2026-08-21T11:00:05,25.774430,-80.137840,0.00,259.0,-10.0,0.0,0.020,0.000,0.000,1.000,0,post_static_noise.ts
all,2026-08-21T11:00:06,25.774430,-80.137840,0.00,259.0,-9.0,0.0,0.000,0.000,0.010,1.000,0,post_static_noise.ts
all,2026-08-21T11:00:07,25.774430,-80.137840,0.00,259.0,-8.0,0.0,0.010,0.000,0.000,1.000,0,post_static_noise.ts
all,2026-08-21T11:00:08,25.774430,-80.137840,0.00,259.0,-7.0,0.0,0.020,0.000,0.010,1.000,0,post_static_noise.ts
all,2026-08-21T11:00:09,25.774430,-80.137840,0.00,259.0,-6.0,0.0,0.000,0.000,0.000,1.000,0,post_static_noise.ts
all,2026-08-21T11:00:10,25.774430,-80.137840,0.00,259.0,-10.0,0.0,0.010,0.000,0.010,1.000,0,post_static_noise.ts
all,2026-08-21T11:00:11,25.774430,-80.137840,0.00,259.0,-9.0,0.0,0.020,0.000,0.000,1.000,0,post_static_noise.ts
all,2026-08-21T11:00:12,25.774430,-80.137840,0.00,259.0,-8.0,0.0,0.000,0.000,0.010,1.000,0,post_static_noise.ts
all,2026-08-21T11:00:13,25.774430,-80.137840,0.00,259.0,-7.0,0.0,0.010,0.000,0.000,1.000,0,post_static_noise.ts
all,2026-08-21T11:00:14,25.774430,-80.137840,0.00,259.0,-6.0,0.0,0.020,0.000,0.010,1.000,0,post_static_noise.ts
all,2026-08-21T11:00:15,25.774430,-80.137840,0.00,259.0,-10.0,0.0,0.000,0.000,0.000,1.000,0,post_static_noise.ts
all,2026-08-21T11:00:16,25.774430,-80.137840,0.00,259.0,-9.0,0.0,0.010,0.000,0.010,1.000,0,post_static_noise.ts
all,2026-08-21T11:00:17,25.774430,-80.137840,0.00,259.0,-8.0,0.0,0.020,0.000,0.000,1.000,0,post_static_noise.ts
all,2026-08-21T11:00:18,25.774430,-80.137840,0.00,259.0,-7.0,0.0,0.000,0.000,0.010,1.000,0,post_static_noise.ts
all,2026-08-21T11:00:19,25.774430,-80.137840,0.00,259.0,-6.0,0.0,0.010,0.000,0.000,1.000,0,post_static_noise.ts
all,2026-08-21T11:00:20,25.774430,-80.137840,0.00,259.0,-10.0,0.0,0.020,0.000,0.010,1.000,0,post_static_noise.ts
all,2026-08-21T11:00:21,25.774430,-80.137840,0.00,259.0,-9.0,0.0,0.000,0.000,0.000,1.000,0,post_static_noise.ts
all,2026-08-21T11:00:22,25.774430,-80.137840,0.00,259.0,-8.0,0.0,0.010,0.000,0.010,1.000,0,post_static_noise.ts
all,2026-08-21T11:00:23,25.774430,-80.137840,0.00,259.0,-7.0,0.0,0.020,0.000,0.000,1.000,0,post_static_noise.ts
all,2026-08-21T11:00:24,25.774430,-80.137840,0.00,259.0,-6.0,0.0,0.000,0.000,0.010,1.000,0,post_static_noise.ts
all,2026-08-21T11:00:25,25.774430,-80.137840,0.00,259.0,-10.0,0.0,0.010,0.000,0.000,1.000,0,post_static_noise.ts
all,2026-08-21T11:00:26,25.774430,-80.137840,0.00,259.0,-9.0,0.0,0.020,0.000,0.010,1.000,0,post_static_noise.ts
all,2026-08-21T11:00:27,25.774430,-80.137840,0.00,259.0,-8.0,0.0,0.000,0.000,0.000,1.000,0,post_static_noise.ts
