day,timestamp,lat,lon,speed_kmh,heading_deg,altitude_m,magvar_deg,accel_x,accel_y,accel_z,dt_s,outlier,source_file
all,2026-04-16T01:01:02,42.211382,-88.321270,89.10,259.3,-10.0,,0.000,0.000,0.010,,0,viidure_basic.ts
all,2026-04-16T01:01:03,42.211342,-88.321566,89.10,259.5,-9.0,,0.010,0.000,0.000,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:04,42.211302,-88.321861,89.10,259.8,-8.0,,0.020,0.000,0.010,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:05,42.211264,-88.322157,89.10,260.0,-7.0,,0.000,0.000,0.000,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:06,42.211226,-88.322454,89.10,260.3,-6.0,,0.010,0.000,0.010,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:07,42.211189,-88.322750,89.10,260.5,-10.0,,0.020,0.000,0.000,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:08,42.211153,-88.323047,89.10,260.8,-9.0,,0.000,0.000,0.010,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:09,42.211119,-88.323343,89.10,261.0,-8.0,,0.010,0.000,0.000,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:10,42.211085,-88.323640,89.10,261.3,-7.0,,0.020,0.000,0.010,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:11,42.211052,-88.323938,89.10,261.5,-6.0,,0.000,0.000,0.000,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:12,42.211020,-88.324235,89.10,261.8,-10.0,,0.010,0.000,0.010,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:13,42.210989,-88.324533,89.10,262.0,-9.0,,0.020,0.000,0.000,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:14,42.210959,-88.324830,89.10,262.3,-8.0,,0.000,0.000,0.010,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:15,42.210930,-88.325128,89.10,262.5,-7.0,,0.010,0.000,0.000,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:16,42.210902,-88.325426,89.10,262.8,-6.0,,0.020,0.000,0.010,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:17,42.210875,-88.325725,89.10,263.0,-10.0,,0.000,0.000,0.000,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:18,42.210849,-88.326023,89.10,263.3,-9.0,,0.010,0.000,0.010,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:19,42.210823,-88.326322,89.10,263.5,-8.0,,0.020,0.000,0.000,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:20,42.210799,-88.326620,89.10,263.8,-7.0,,0.000,0.000,0.010,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:21,42.210776,-88.326919,89.10,264.0,-6.0,,0.010,0.000,0.000,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:22,42.210754,-88.327218,89.10,264.3,-10.0,,0.020,0.000,0.010,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:23,42.210732,-88.327517,89.10,264.5,-9.0,,0.000,0.000,0.000,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:24,42.210712,-88.327817,89.10,264.8,-8.0,,0.010,0.000,0.010,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:25,42.210692,-88.328116,89.10,265.0,-7.0,,0.020,0.000,0.000,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:26,42.210674,-88.328415,89.10,265.3,-6.0,,0.000,0.000,0.010,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:27,42.210657,-88.328715,89.10,265.5,-10.0,,0.010,0.000,0.000,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:28,42.210640,-88.329015,89.10,265.8,-9.0,,0.020,0.000,0.010,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:29,42.210625,-88.329315,89.10,266.0,-8.0,,0.000,0.000,0.000,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:30,42.210610,-88.329614,89.10,266.3,-7.0,,0.010,0.000,0.010,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:31,42.210596,-88.329914,89.10,266.5,-6.0,,0.020,0.000,0.000,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:32,42.210584,-88.330214,89.10,266.8,-10.0,,0.000,0.000,0.010,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:33,42.210572,-88.330514,89.10,267.0,-9.0,,0.010,0.000,0.000,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:34,42.210561,-88.330815,89.10,267.3,-8.0,,0.020,0.000,0.010,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:35,42.210552,-88.331115,89.10,267.5,-7.0,,0.000,0.000,0.000,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:36,42.210543,-88.331415,89.10,267.8,-6.0,,0.010,0.000,0.010,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:37,42.210535,-88.331715,89.10,268.0,-10.0,,0.020,0.000,0.000,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:38,42.210528,-88.332016,89.10,268.3,-9.0,,0.000,0.000,0.010,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:39,42.210523,-88.332316,89.10,268.5,-8.0,,0.010,0.000,0.000,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:40,42.210518,-88.332617,89.10,268.8,-7.0,,0.020,0.000,0.010,1.000,0,viidure_basic.ts
all,2026-04-16T01:01:41,42.210514,-88.332917,89.10,269.0,-6.0,,0.000,0.000,0.000,1.000,0,viidure_basic.ts
