day,timestamp,lat,lon,speed_kmh,heading_deg,altitude_m,magvar_deg,accel_x,accel_y,accel_z,dt_s,outlier,source_file
all,2026-04-17T01:01:02,42.499967,-88.100233,70.00,259.3,-10.0,,0.000,0.000,0.010,,0,viidure_multi_per_pes.ts
all,2026-04-17T01:01:03,42.499936,-88.100466,70.00,259.5,-9.0,,0.010,0.000,0.000,1.000,0,viidure_multi_per_pes.ts
all,2026-04-17T01:01:04,42.499904,-88.100700,70.00,259.8,-8.0,,0.020,0.000,0.010,1.000,0,viidure_multi_per_pes.ts
all,2026-04-17T01:01:05,42.499874,-88.100933,70.00,260.0,-7.0,,0.000,0.000,0.000,1.000,0,viidure_multi_per_pes.ts
all,2026-04-17T01:01:06,42.499844,-88.101167,70.00,260.3,-6.0,,0.010,0.000,0.010,1.000,0,viidure_multi_per_pes.ts
all,2026-04-17T01:01:07,42.499816,-88.101401,70.00,260.5,-10.0,,0.020,0.000,0.000,1.000,0,viidure_multi_per_pes.ts
all,2026-04-17T01:01:08,42.499787,-88.101635,70.00,260.8,-9.0,,0.000,0.000,0.010,1.000,0,viidure_multi_per_pes.ts
all,2026-04-17T01:01:09,42.499760,-88.101869,70.00,261.0,-8.0,,0.010,0.000,0.000,1.000,0,viidure_multi_per_pes.ts
all,2026-04-17T01:01:10,42.499733,-88.102104,70.00,261.3,-7.0,,0.020,0.000,0.010,1.000,0,viidure_multi_per_pes.ts
all,2026-04-17T01:01:11,42.499708,-88.102338,70.00,261.5,-6.0,,0.000,0.000,0.000,1.000,0,viidure_multi_per_pes.ts
all,2026-04-17T01:01:12,42.499683,-88.102573,70.00,261.8,-10.0,,0.010,0.000,0.010,1.000,0,viidure_multi_per_pes.ts
all,2026-04-17T01:01:13,42.499658,-88.102808,70.00,262.0,-9.0,,0.020,0.000,0.000,1.000,0,viidure_multi_per_pes.ts
all,2026-04-17T01:01:14,42.499635,-88.103043,70.00,262.3,-8.0,,0.000,0.000,0.010,1.000,0,viidure_multi_per_pes.ts
all,2026-04-17T01:01:15,42.499612,-88.103278,70.00,262.5,-7.0,,0.010,0.000,0.000,1.000,0,viidure_multi_per_pes.ts
all,2026-04-17T01:01:16,42.499590,-88.103513,70.00,262.8,-6.0,,0.020,0.000,0.010,1.000,0,viidure_multi_per_pes.ts
all,2026-04-17T01:01:17,42.499568,-88.103749,70.00,263.0,-10.0,,0.000,0.000,0.000,1.000,0,viidure_multi_per_pes.ts
all,2026-04-17T01:01:18,42.499548,-88.103984,70.00,263.3,-9.0,,0.010,0.000,0.010,1.000,0,viidure_multi_per_pes.ts
all,2026-04-17T01:01:19,42.499528,-88.104220,70.00,263.5,-8.0,,0.020,0.000,0.000,1.000,0,viidure_multi_per_pes.ts
all,2026-04-17T01:01:20,42.499509,-88.104456,70.00,263.8,-7.0,,0.000,0.000,0.010,1.000,0,viidure_multi_per_pes.ts
all,2026-04-17T01:01:21,42.499491,-88.104692,70.00,264.0,-6.0,,0.010,0.000,0.000,1.000,0,viidure_multi_per_pes.ts
all,2026-04-17T01:01:22,42.499473,-88.104928,70.00,264.3,-10.0,,0.020,0.000,0.010,1.000,0,viidure_multi_per_pes.ts
